file	output
01.krn	{"global_key": "G", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "G", "3.0": "G", "4.0": "G"}}
02.krn	{"global_key": "D", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "D", "3.0": "D", "4.0": "D"}}
03.krn	{"global_key": "a", "local_keys": {"0.0": "C", "0.5": "C", "1.0": "a", "1.5": "a", "2.0": "A", "3.0": "A", "4.0": "A"}}
04.krn	{"global_key": "E", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "E", "3.0": "E", "4.0": "E"}}
05.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "B", "4.0": "B"}}
06.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "b", "1.5": "b", "2.0": "F#", "3.0": "F#", "3.5": "F#", "4.0": "F#"}}
07.krn	{"global_key": "c#", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "c#", "3.0": "Db", "3.5": "Db", "4.0": "Db"}}
08.krn	{"global_key": "d", "local_keys": {"0.0": "F", "1.0": "d", "1.5": "d", "2.0": "d", "3.0": "d", "4.0": "g", "6.0": "c"}}
09.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "a", "2.0": "a", "3.0": "C", "4.0": "Eb", "5.0": "Eb", "6.0": "Eb"}}
100A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "B", "3.0": "e", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Eb", "6.0": "F#", "7.0": "F#", "8.0": "F#"}}
100B.krn	{"global_key": "D", "local_keys": {"0.0": "F#", "1.0": "F#", "2.0": "A", "3.0": "A", "3.5": "a", "4.0": "d", "4.5": "d", "5.0": "g", "6.0": "g", "7.0": "b", "8.0": "b"}}
10.krn	{"global_key": "a", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "F", "5.0": "F", "6.0": "F"}}
11.krn	{"global_key": "D", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "D", "4.0": "F", "5.0": "F", "6.0": "F"}}
12.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "f#", "4.0": "G", "5.0": "G", "6.0": "G"}}
13.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "3.5": "F", "4.0": "F"}}
14.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "2.0": "Bb"}}
15.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "Eb", "3.0": "Eb", "3.5": "Eb", "4.0": "Eb"}}
16.krn	{"global_key": "Ab", "local_keys": {"0.0": "f", "1.0": "Ab", "1.5": "Ab", "2.0": "Ab", "3.0": "Ab", "4.0": "Ab"}}
17.krn	{"global_key": "Db", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "Db", "3.0": "Db", "4.0": "Db"}}
18.krn	{"global_key": "Db", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "F#", "3.0": "F#", "4.0": "F#"}}
19.krn	{"global_key": "ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "B", "3.0": "B", "4.0": "B"}}
20.krn	{"global_key": "ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "B", "3.0": "B", "4.0": "B"}}
21.krn	{"global_key": "f#", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "F#", "3.0": "A", "4.0": "A", "5.0": "A", "6.0": "A"}}
22.krn	{"global_key": "a", "local_keys": {"0.0": "C", "1.0": "a", "2.0": "a", "3.0": "a", "4.0": "a"}}
23.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "e"}}
24.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "b", "4.0": "b"}}
25.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "b", "1.5": "b", "2.0": "f#", "3.0": "f#", "4.0": "f#"}}
26.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G", "2.5": "G", "3.0": "c", "4.0": "f"}}
27.krn	{"global_key": "A", "local_keys": {"0.0": "F", "1.0": "d", "1.5": "d", "2.0": "D", "3.0": "ab", "4.0": "ab"}}
28.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "E", "2.5": "E", "3.0": "eb", "4.0": "eb"}}
29.krn	{"global_key": "bb", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "eb", "3.0": "eb", "4.0": "bb", "5.0": "bb", "6.0": "bb"}}
30.krn	{"global_key": "f", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "bb", "2.5": "bb", "3.0": "f", "4.0": "f"}}
31.krn	{"global_key": "c", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "C", "2.0": "f", "2.5": "f", "3.0": "c", "4.0": "c"}}
32.krn	{"global_key": "d", "local_keys": {"0.0": "F", "1.0": "d", "2.0": "d", "3.0": "d", "4.0": "d"}}
33.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G"}}
34.krn	{"global_key": "c", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "c", "3.0": "c", "4.0": "c"}}
35.krn	{"global_key": "f", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "f", "3.0": "f", "4.0": "f"}}
36.krn	{"global_key": "bb", "local_keys": {"0.0": "f", "1.0": "bb", "2.0": "bb"}}
37.krn	{"global_key": "f", "local_keys": {"1.0": "f", "2.0": "f", "3.0": "f", "3.5": "f", "4.0": "eb"}}
38.krn	{"global_key": "Ab", "local_keys": {"1.0": "f", "2.0": "Ab", "3.0": "Ab", "4.0": "Ab"}}
39.krn	{"global_key": "Ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "Ab", "3.0": "Ab", "4.0": "c#"}}
40.krn	{"global_key": "Ab", "local_keys": {"1.0": "f", "2.0": "f", "3.0": "Ab", "4.0": "c#"}}
41.krn	{"global_key": "ab", "local_keys": {"1.0": "f", "2.0": "f", "2.5": "f", "3.0": "B", "4.0": "B"}}
42a.krn	{"global_key": "Ab", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "c", "3.0": "Eb", "4.0": "Eb"}}
42b.krn	{"global_key": "eb", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "c", "3.0": "Eb", "4.0": "eb"}}
43a.krn	{"global_key": "Db", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "3.0": "Ab", "4.0": "Ab"}}
43b.krn	{"global_key": "c#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "c#", "3.0": "ab", "4.0": "ab"}}
44a.krn	{"global_key": "f", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "2.5": "c", "3.0": "f", "3.5": "Ab", "4.0": "Db"}}
44b.krn	{"global_key": "Db", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "A", "1.5": "C", "2.0": "C", "2.5": "c", "3.0": "f", "3.5": "Ab", "4.0": "c#"}}
45a.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.5": "A", "1.75": "a", "2.0": "C", "3.0": "c", "4.0": "F#", "5.0": "F#", "5.5": "F#", "6.0": "F#"}}
45b.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.5": "A", "1.75": "a", "2.0": "C", "3.0": "c", "4.0": "F#", "5.0": "F#", "5.5": "F#", "6.0": "F#"}}
46a.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "Db", "2.5": "Db", "3.0": "F#"}}
46b.krn	{"global_key": "f#", "local_keys": {"0.0": "f#", "1.0": "f#", "1.25": "f#", "1.5": "b", "2.0": "c#", "2.5": "b", "3.0": "b"}}
47.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "3.5": "e", "4.0": "e"}}
48.krn	{"global_key": "b", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "b", "4.0": "b"}}
49.krn	{"global_key": "f#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "f#", "4.0": "f#"}}
50.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "c#", "3.5": "c#", "4.0": "c#"}}
51.krn	{"global_key": "c#", "local_keys": {"0.0": "c#", "1.0": "f#", "2.0": "f#", "3.0": "ab", "4.0": "ab"}}
52.krn	{"global_key": "ab", "local_keys": {"0.0": "c#", "1.0": "ab", "1.5": "ab", "2.0": "eb", "3.0": "eb", "4.0": "eb"}}
