file	output
3-10a.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a", "6.0": "a"}}
3-10b.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "G", "6.0": "G"}}
3-10c.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F"}}
3-10d.krn	{"global_key": "f", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "f", "8.0": "f"}}
3-14a.krn	{"global_key": "d", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d"}}
3-14b.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a"}}
3-14c.krn	{"global_key": "d", "local_keys": {"0.0": "a", "2.0": "d", "4.0": "d"}}
3-14d.krn	{"global_key": "d", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d"}}
3-14e.krn	{"global_key": "G", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "G", "6.0": "G"}}
3-14f.krn	{"global_key": "C", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "C", "8.0": "C"}}
3-14g.krn	{"global_key": "G", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "G", "6.0": "G"}}
3-17a.krn	{"global_key": "d", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "a", "8.0": "C", "10.0": "F", "12.0": "F", "14.0": "d", "16.0": "d", "17.0": "d", "18.0": "d"}}
3-17b.krn	{"global_key": "F", "local_keys": {"0.0": "f", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F", "12.0": "F", "14.0": "F", "16.0": "F", "18.0": "C", "20.0": "C", "22.0": "C", "24.0": "C", "26.0": "C", "28.0": "C"}}
3-17c.krn	{"global_key": "a", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "a", "6.0": "a", "8.0": "a", "10.0": "d", "12.0": "a", "14.0": "a", "16.0": "e", "18.0": "e", "20.0": "G", "22.0": "G", "24.0": "G", "26.0": "G", "28.0": "G"}}
3-17d.krn	{"global_key": "a", "local_keys": {"0.0": "a", "2.0": "a", "4.0": "C", "6.0": "C", "8.0": "C", "10.0": "a", "12.0": "a", "14.0": "a", "16.0": "d", "18.0": "d", "20.0": "a", "22.0": "a", "24.0": "e", "26.0": "e", "28.0": "e", "30.0": "a", "32.0": "a", "34.0": "a", "36.0": "E", "38.0": "E", "40.0": "E", "42.0": "E"}}
3-23a.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "a", "4.0": "a", "6.0": "E", "8.0": "E", "10.0": "E"}}
3-23b.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "c", "8.0": "g", "10.0": "g"}}
3-23c.krn	{"global_key": "c", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "Eb", "8.0": "Eb", "10.0": "Eb", "12.0": "c", "14.0": "c", "16.0": "c"}}
3-23d.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "f", "10.0": "f"}}
3-23e.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "Bb", "8.0": "Bb", "10.0": "Bb", "12.0": "Bb", "14.0": "Bb", "16.0": "Bb"}}
3-23f.krn	{"global_key": "A", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "a", "6.0": "A", "8.0": "A", "10.0": "A", "12.0": "A", "14.0": "A", "16.0": "A"}}
3-23g.krn	{"global_key": "f", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "C", "10.0": "c", "12.0": "c", "14.0": "c", "16.0": "f", "18.0": "f", "20.0": "f", "22.0": "Db", "24.0": "Db", "26.0": "Db", "28.0": "Db", "30.0": "Db", "32.0": "Db", "34.0": "Db", "36.0": "Db", "38.0": "Db", "40.0": "f", "42.0": "f", "44.0": "f", "46.0": "f", "48.0": "f", "50.0": "C", "52.0": "C", "54.0": "C", "56.0": "C", "58.0": "a", "60.0": "C"}}
3-24a.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "Eb", "6.0": "Eb"}}
3-24b.krn	{"global_key": "b", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "e", "6.0": "b", "8.0": "b", "10.0": "b"}}
3-5a.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F", "12.0": "F"}}
3-5b.krn	{"global_key": "f", "local_keys": {"0.0": "f", "2.0": "f", "4.0": "f", "6.0": "f", "8.0": "f", "10.0": "f", "12.0": "f"}}
3-5c.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C", "8.0": "C"}}
3-5d.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "C"}}
3-5e.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "F", "8.0": "F", "10.0": "F"}}
3-5f.krn	{"global_key": "e", "local_keys": {"0.0": "e", "2.0": "e", "4.0": "e", "6.0": "e"}}
3-5g.krn	{"global_key": "E", "local_keys": {"0.0": "e", "2.0": "E", "4.0": "E", "6.0": "E"}}
3-5h.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F"}}
3-6.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "G"}}
3-7.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F", "6.0": "d", "8.0": "d", "10.0": "d"}}
3-8.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "d", "4.0": "d", "6.0": "d", "8.0": "d", "10.0": "F", "12.0": "F", "14.0": "F"}}
3-9a.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "C", "6.0": "d"}}
3-9b.krn	{"global_key": "d", "local_keys": {"0.0": "C", "2.0": "C", "4.0": "d", "6.0": "d"}}
