file	output
01.krn	{"global_key": "G", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "G", "3.0": "G", "4.0": "G"}}
02.krn	{"global_key": "D", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "D", "3.0": "D", "4.0": "D"}}
03.krn	{"global_key": "a", "local_keys": {"0.0": "C", "0.5": "C", "1.0": "a", "1.5": "a", "2.0": "A", "3.0": "A", "4.0": "A"}}
04.krn	{"global_key": "E", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "E", "3.0": "E", "4.0": "E"}}
05.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "B", "3.0": "B", "4.0": "B"}}
06.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "b", "1.5": "b", "2.0": "F#", "3.0": "F#", "3.5": "F#", "4.0": "F#"}}
07.krn	{"global_key": "c#", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "c#", "3.0": "Db", "3.5": "Db", "4.0": "Db"}}
08.krn	{"global_key": "d", "local_keys": {"0.0": "F", "1.0": "d", "1.5": "d", "2.0": "d", "3.0": "d", "4.0": "g", "6.0": "c"}}
09.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "1.5": "a", "2.0": "a", "3.0": "C", "4.0": "Eb", "5.0": "Eb", "6.0": "Eb"}}
100A.krn	{"global_key": "F#", "local_keys": {"0.0": "F#", "1.0": "B", "2.0": "B", "3.0": "e", "3.5": "e", "4.0": "Bb", "4.5": "Bb", "5.0": "Eb", "6.0": "F#", "7.0": "F#", "8.0": "F#"}}
100B.krn	{"global_key": "D", "local_keys": {"0.0": "F#", "1.0": "F#", "2.0": "A", "3.0": "A", "3.5": "a", "4.0": "d", "4.5": "d", "5.0": "g", "6.0": "g", "7.0": "b", "8.0": "b"}}
10.krn	{"global_key": "a", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "F", "5.0": "F", "6.0": "F"}}
11.krn	{"global_key": "D", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "D", "4.0": "F", "5.0": "F", "6.0": "F"}}
12.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "b", "3.0": "f#", "4.0": "G", "5.0": "G", "6.0": "G"}}
13.krn	{"global_key": "F", "local_keys": {"0.0": "F", "1.0": "F", "2.0": "F", "3.0": "F", "3.5": "F", "4.0": "F"}}
14.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "1.0": "Bb", "2.0": "Bb"}}
15.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "Eb", "3.0": "Eb", "3.5": "Eb", "4.0": "Eb"}}
16.krn	{"global_key": "Ab", "local_keys": {"0.0": "f", "1.0": "Ab", "1.5": "Ab", "2.0": "Ab", "3.0": "Ab", "4.0": "Ab"}}
173a.krn	{"global_key": "bb", "local_keys": {"0.0": "f", "2.0": "bb", "4.0": "bb"}}
173b.krn	{"global_key": "D", "local_keys": {"0.0": "G", "2.0": "D", "4.0": "D"}}
173c.krn	{"global_key": "c", "local_keys": {"0.0": "C", "2.0": "c", "4.0": "Eb", "6.0": "Eb"}}
173d.krn	{"global_key": "e", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "e", "6.0": "E"}}
173e.krn	{"global_key": "F", "local_keys": {"0.0": "F", "2.0": "F", "4.0": "F"}}
173f.krn	{"global_key": "Db", "local_keys": {"0.0": "f", "2.0": "Ab", "4.0": "Db", "6.0": "F#"}}
173g.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "4.0": "G"}}
173h.krn	{"global_key": "Ab", "local_keys": {"0.0": "f", "2.0": "Ab", "4.0": "Ab"}}
173i.krn	{"global_key": "a", "local_keys": {"0.0": "C", "2.0": "A", "4.0": "A"}}
173j.krn	{"global_key": "Bb", "local_keys": {"0.0": "F", "2.0": "Bb", "4.0": "Bb"}}
173k.krn	{"global_key": "B", "local_keys": {"0.0": "e", "2.0": "B", "4.0": "B"}}
17.krn	{"global_key": "Db", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "Db", "3.0": "Db", "4.0": "Db"}}
183a.krn	{"global_key": "B", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "b", "5.0": "b", "6.0": "b", "7.0": "F#", "7.5": "F#", "8.0": "F#", "9.0": "F#", "10.0": "F#", "11.0": "F#", "12.0": "F#"}}
183b.krn	{"global_key": "c", "local_keys": {"0.0": "C", "2.0": "C", "3.0": "d", "4.0": "d", "6.0": "d", "7.0": "g", "8.0": "g", "9.0": "g", "10.0": "c", "11.0": "c", "12.0": "c", "13.0": "Eb", "14.0": "Eb", "15.0": "f", "16.0": "f", "17.0": "f", "18.0": "f", "19.0": "f", "20.0": "f"}}
183c.krn	{"global_key": "f", "local_keys": {"0.0": "f", "1.0": "f", "2.0": "f", "3.0": "f", "4.0": "f", "5.0": "f", "6.0": "Ab", "8.0": "Ab", "8.5": "Ab", "9.0": "Ab"}}
183d.krn	{"global_key": "a", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "e", "5.0": "a", "6.0": "a", "7.0": "d", "8.0": "d", "9.0": "d", "9.5": "d", "10.0": "e", "11.0": "a", "11.5": "a", "12.0": "a"}}
183e.krn	{"global_key": "G", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "G", "4.0": "b", "5.0": "b", "6.0": "b", "7.0": "D", "8.0": "D", "8.5": "g", "9.0": "g", "10.0": "g", "10.5": "g", "11.0": "g", "11.5": "g", "12.0": "g", "13.0": "g", "14.0": "g"}}
185a.krn	{"global_key": "F", "local_keys": {"0.0": "C", "0.5": "C", "1.0": "C", "1.5": "F", "2.0": "d", "2.5": "d", "3.0": "e", "3.5": "e", "4.0": "e", "4.5": "a", "5.0": "C", "5.5": "F", "6.0": "bb", "6.5": "bb", "7.0": "bb", "7.5": "bb", "8.0": "bb", "8.5": "bb", "9.0": "bb", "9.5": "bb", "10.0": "bb", "10.5": "bb"}}
185b.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "a", "5.0": "a", "6.0": "a", "7.0": "a", "8.0": "a", "9.0": "d", "10.0": "F", "11.0": "F", "12.0": "d", "13.0": "d", "14.0": "d", "15.0": "d", "16.0": "d", "17.0": "g", "18.0": "c", "19.0": "c", "20.0": "c", "21.0": "f", "22.0": "f", "23.0": "c", "24.0": "c", "25.0": "c", "26.0": "c", "27.0": "c", "28.0": "c"}}
189.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "C", "5.0": "Bb", "6.0": "Bb", "7.0": "Ab", "8.0": "Ab", "9.0": "Ab", "10.0": "Ab", "11.0": "G", "12.0": "G", "13.0": "D", "14.0": "D", "15.0": "E", "16.0": "E", "17.0": "D", "18.0": "D", "19.0": "C", "20.0": "C", "21.0": "C", "22.0": "F", "23.0": "F", "24.0": "F", "26.0": "F", "27.0": "F", "28.0": "F"}}
18.krn	{"global_key": "Db", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "F#", "3.0": "F#", "4.0": "F#"}}
191a.krn	{"global_key": "G", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "G", "3.0": "G", "4.0": "D"}}
191b.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "d"}}
191c.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "b", "4.0": "b"}}
193a.krn	{"global_key": "C", "local_keys": {"0.0": "C", "2.0": "C", "3.0": "C", "4.0": "C", "5.0": "C", "6.0": "G"}}
193b.krn	{"global_key": "G", "local_keys": {"0.0": "G", "2.0": "G", "3.0": "G", "4.0": "G", "5.0": "e", "6.0": "e"}}
195.krn	{"global_key": "F", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "a", "6.0": "a", "7.0": "a", "8.0": "F", "10.0": "F", "12.0": "Bb", "13.0": "Bb", "14.0": "Bb", "16.0": "Bb", "17.0": "a", "18.0": "a", "19.0": "a", "20.0": "C", "21.0": "C", "22.0": "F", "23.0": "F"}}
19.krn	{"global_key": "ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "B", "3.0": "B", "4.0": "B"}}
20.krn	{"global_key": "ab", "local_keys": {"0.0": "f", "1.0": "Ab", "2.0": "B", "3.0": "B", "4.0": "B"}}
21.krn	{"global_key": "f#", "local_keys": {"0.0": "f", "1.0": "Db", "2.0": "F#", "3.0": "A", "4.0": "A", "5.0": "A", "6.0": "A"}}
22.krn	{"global_key": "a", "local_keys": {"0.0": "C", "1.0": "a", "2.0": "a", "3.0": "a", "4.0": "a"}}
23.krn	{"global_key": "e", "local_keys": {"0.0": "e", "1.0": "e", "2.0": "e", "3.0": "e", "4.0": "e"}}
