file	output
ex18-2.krn	{"global_key": "c", "local_keys": {"0.0": "Bb", "2.0": "Bb", "3.0": "Eb", "4.0": "Eb", "5.0": "c", "6.0": "c", "7.0": "c", "8.0": "c", "8.5": "c", "9.0": "c"}}
ex18-3a.krn	{"global_key": "C", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "C", "3.0": "C", "4.0": "C"}}
ex18-3b.krn	{"global_key": "C", "local_keys": {"0.0": "G", "1.0": "G", "2.0": "C", "3.0": "C", "3.5": "C", "4.0": "F", "5.0": "F", "6.0": "F", "7.0": "F", "7.5": "F", "8.0": "F"}}
ex18-4.krn	{"global_key": "C", "local_keys": {"0.0": "C", "1.0": "C", "2.0": "C", "3.0": "C", "4.0": "C", "5.0": "C", "6.0": "C", "7.0": "C", "8.0": "C", "9.0": "C", "10.0": "C", "11.0": "C", "12.0": "G", "13.0": "G", "14.0": "e", "15.0": "a", "16.0": "a", "17.0": "a", "17.5": "C", "18.0": "C", "19.0": "C", "20.0": "G", "20.5": "G", "21.0": "G", "22.0": "G", "22.5": "G", "23.0": "G", "23.5": "G", "24.0": "G", "24.5": "G"}}
ex18-6.krn	{"global_key": "d", "local_keys": {"0.0": "d", "0.5": "d", "0.75": "d", "1.0": "d", "2.0": "d", "3.0": "d", "3.5": "d", "3.75": "d", "4.0": "d", "5.0": "d", "6.0": "d", "6.5": "d", "6.75": "d", "7.0": "d", "8.0": "d", "9.0": "d", "9.5": "d", "9.75": "d", "10.0": "d", "11.0": "d", "12.0": "d", "12.5": "d", "13.0": "d", "13.5": "F", "14.0": "F", "14.5": "F", "15.0": "F", "15.5": "F", "15.75": "F", "16.0": "F", "17.0": "F", "18.0": "F", "19.0": "C", "19.5": "C", "20.0": "C", "20.5": "C", "21.0": "C"}}
ex18-7.krn	{"global_key": "Eb", "local_keys": {"0.0": "f", "0.25": "f", "0.5": "f", "0.75": "f", "1.0": "c", "1.25": "c", "1.5": "Eb", "1.75": "Eb", "2.0": "Eb", "2.25": "Eb", "2.5": "Eb", "3.0": "Eb", "3.5": "Eb", "4.0": "Eb", "4.25": "Eb", "4.5": "Ab", "5.0": "Eb", "5.5": "Eb", "6.5": "Eb", "7.0": "Eb", "7.5": "Eb", "8.0": "Eb", "8.25": "Eb", "8.5": "Eb", "8.75": "Eb", "9.0": "Eb", "9.25": "Eb", "9.5": "Eb", "9.75": "Eb", "10.0": "Eb", "10.25": "Eb", "10.5": "Eb", "11.0": "Eb", "11.5": "Eb", "12.0": "Eb", "12.25": "c", "12.5": "g", "13.0": "g", "13.25": "g", "13.5": "g", "14.0": "g", "14.5": "g", "15.0": "g", "15.25": "g", "15.5": "g"}}
ex19-10.krn	{"global_key": "d", "local_keys": {"0.0": "d", "0.5": "d", "1.0": "d", "1.5": "d", "2.0": "d", "2.5": "d", "3.0": "d", "3.5": "D", "4.0": "D", "4.25": "D", "4.5": "D", "4.75": "D", "5.0": "D", "5.5": "D", "6.0": "D", "6.5": "D", "6.75": "D", "7.0": "d", "7.25": "d", "7.5": "d", "7.75": "d", "8.0": "D", "8.25": "D", "8.5": "D", "8.75": "D", "9.0": "D", "9.25": "D", "9.5": "d", "9.75": "d", "10.0": "d", "10.25": "d", "10.5": "d", "10.75": "d", "11.0": "d", "11.75": "d", "12.0": "g", "12.25": "g", "12.5": "g", "12.75": "g", "13.0": "g", "13.25": "g", "13.5": "g", "13.75": "g", "14.0": "g", "14.25": "g", "14.5": "g", "14.75": "g", "15.0": "g", "15.25": "g", "15.5": "G", "15.75": "G", "16.0": "G", "16.25": "G", "16.5": "G", "16.75": "G", "17.0": "G", "17.25": "G", "17.5": "G", "17.75": "G", "18.0": "G", "18.25": "G", "18.5": "g", "18.75": "g", "19.0": "g", "19.25": "g", "19.5": "g", "19.75": "g"}}
ex19-11.krn	{"global_key": "g", "local_keys": {"0.0": "g", "0.5": "g", "1.0": "g", "1.5": "g", "1.75": "g", "2.0": "g", "2.5": "d", "3.0": "g", "3.5": "g", "4.0": "g", "4.5": "g", "5.0": "g", "5.5": "g", "6.0": "g", "6.5": "g", "7.0": "g", "8.0": "Bb", "8.5": "Bb", "9.0": "Bb", "9.5": "Bb", "10.0": "Bb", "10.5": "Bb", "11.0": "Bb", "11.5": "Bb", "11.75": "Bb", "12.0": "Bb", "12.5": "Bb", "13.0": "Bb", "13.5": "Bb", "14.0": "Bb", "15.0": "Bb"}}
ex19-12.krn	{"global_key": "ab", "local_keys": {"0.0": "Db", "4.0": "Db", "8.0": "bb", "12.0": "eb", "16.0": "eb", "20.0": "c#", "24.0": "c#", "28.0": "Ab", "32.0": "eb", "36.0": "B", "40.0": "B"}}
ex19-1.krn	{"global_key": "G", "local_keys": {"0.0": "G", "0.25": "G", "0.5": "G", "0.75": "G", "1.0": "G", "1.25": "G", "1.5": "G", "1.75": "G", "2.0": "G", "2.25": "G", "2.5": "G", "2.75": "G", "3.0": "G", "3.25": "G", "3.5": "G", "3.75": "G", "4.0": "G", "4.25": "G", "4.5": "G", "4.75": "G", "5.0": "G", "5.25": "G", "5.375": "G", "5.5": "G", "5.75": "G", "6.0": "G", "6.25": "D", "6.5": "D", "6.75": "D", "7.0": "D", "7.25": "D", "7.5": "D", "7.75": "D", "8.0": "D", "8.25": "D", "8.5": "D", "8.75": "b", "9.0": "b"}}
